1 6 5.7 4.76 
3 3.5 3.6 4.47 
7 6.5 4.2 4.51 
9 6.5 5.8 4.47 
7 0.5 4.6 4.88 
5 8.5 5.1 4.23 
0 6.5 4.1 4.88 
7 3.5 5.6 4.31 
4 7 4.7 4.82 
4 3 3 4.35 
4 0.5 4.8 4.11 
5 8 4.3 4.3 
9 6 4.3 4.37 
0 3 5 4.06 
6 5 4.4 4.75 
0 7.5 5.6 4.62 
5 1.5 5.5 4.58 
4 1 4.5 4.44 
2 4 5.2 4.3 
9 6 4.2 4.28 
1 2.5 4.8 4.82 
1 3.5 6.7 3.95 
2 5 5.6 4.28 
2 3 4.6 4.49 
2 8.5 3.6 4.92 
5 5 5.1 4.74 
9 6.5 5.7 4.44 
8 7.5 5.6 4.78 
2 2.5 3.4 4.55 
0 4 4.9 4.49 
9 4.5 4.5 4.36 
0 3.5 5.3 4.83 
5 1.5 4.6 4.47 
8 5 4 4.16 
9 4 3.7 5.56 
2 4.5 5.5 4.58 
8 7.5 4.4 4.64 
1 8 5.1 4.25 
5 5 4.3 4.46 
6 1.5 5.6 4.5 
3 4.5 4.7 4.3 
6 2.5 4.8 4.72 
8 2.5 4.5 4.84 
0 8 5.2 4.65 
7 6 4.4 4.48 
8 1 2.9 4.62 
9 6.5 5.4 4.3 
2 4.5 3.6 4.47 
8 9 4.1 4.28 
2 3 4.2 4.19 
0 6.5 4.6 4.32 
9 4.5 4.9 4.92 
9 6.5 2.9 4.65 
7 1 4.2 4.68 
7 5 4.4 4.22 
8 6 4.6 4.47 
7 8 4.9 4.89 
5 2.5 5.6 3.81 
7 0 4.5 4.74 
6 5.5 4.7 5.03 
6 4.5 3.9 4.31 
8 3.5 6.3 4.95 
7 4 4.1 4.91 
1 0 3.6 4.81 
3 6 3.6 4.05 
9 3.5 4 4.57 
5 2 2.4 4.27 
3 4 4.8 4.43 
1 8 4.1 4.57 
0 2.5 4.4 4.96 
3 5.5 4.4 4.83 
4 5.5 4.9 5.01 
0 3 4.8 4.7 
0 5 5 4.63 
2 6 5.1 4.19 
1 5 3.9 4.79 
1 2.5 2.9 4.24 
2 2.5 3.9 4.52 
5 3 5 5.13 
0 5 4.1 4.07 
4 5.5 5 4.27 
4 3 5.3 4.9 
9 2 4.2 4.37 
7 4 6.2 4.32 
3 2.5 5.5 4.37 
2 5 4.1 4.4 
7 8 3.4 4.22 
1 3.5 4.3 4.57 
1 2 3.7 4.66 
5 6 3.1 4.23 
5 4.5 3.2 4.61 
1 3.5 4.7 4.36 
2 4.5 6.2 3.94 
